,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
6701,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,01-03,Yes,Computer,Moderate
6702,Boy,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
6703,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6704,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6705,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Low
6706,Girl,06-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,,Mobile,High
6707,Girl,21-25,University,Non Government,No,,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6708,Boy,26-30,University,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,Yes,Mobile,Moderate
6709,Boy,11-15,,Government,No,No,Low,Poor,,3G,0,No,Mobile,Low
6710,Girl,16-20,College,Non Government,No,,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6711,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6712,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3G,03-06,No,Mobile,Low
6713,Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,,Mobile,Moderate
6714,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,4G,01-03,Yes,Computer,High
6715,Boy,26-30,University,Non Government,Yes,Yes,Low,,Wifi,4G,03-06,No,Computer,Moderate
6716,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6717,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,,Yes,Computer,Moderate
6718,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6719,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,03-06,Yes,Mobile,Low
6720,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,03-06,No,Mobile,Moderate
6721,Girl,06-10,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
6722,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,03-06,Yes,Computer,Low
6723,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6724,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6725,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6726,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Low
6727,Girl,11-15,,Government,No,No,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6728,Girl,01-05,School,Government,No,Yes,Low,Rich,Mobile Data,4G,01-03,Yes,Mobile,Low
6729,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6730,Girl,21-25,University,Non Government,Yes,No,High,Mid,Wifi,4G,01-03,Yes,Computer,Moderate
6731,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
6732,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6733,Boy,21-25,University,Non Government,No,Yes,High,Mid,Mobile Data,3G,01-03,Yes,Mobile,Moderate
6734,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6735,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6736,Boy,21-25,College,Government,Yes,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low
6737,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,Yes,Mobile,Low
6738,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,,01-03,No,Mobile,Moderate
6739,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
6740,Girl,11-15,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
6741,Girl,11-15,School,Non Government,No,Yes,Low,Rich,Wifi,3G,01-03,No,Mobile,High
6742,Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
6743,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6744,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,,Mobile,Moderate
6745,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6746,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6747,Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,3G,03-06,Yes,Mobile,Moderate
6748,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6749,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,01-03,,Mobile,Low
6750,Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6751,Girl,16-20,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,03-06,Yes,Mobile,Moderate
6752,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6753,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6754,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6755,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,03-06,Yes,Mobile,Moderate
6756,Girl,16-20,University,Non Government,Yes,No,High,Poor,Mobile Data,3G,01-03,Yes,Mobile,Moderate
6757,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6758,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,4G,01-03,Yes,Computer,High
6759,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6760,Boy,11-15,School,Non Government,No,Yes,Low,Rich,Wifi,,,No,Mobile,High
6761,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
6762,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6763,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6764,Boy,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low
6765,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Tab,Moderate
6766,Boy,11-15,School,Non Government,Yes,Yes,Low,Poor,Mobile Data,4G,,No,Mobile,Moderate
6767,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6768,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6769,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6770,Boy,21-25,University,Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
6771,Boy,16-20,College,Government,,Yes,Low,Mid,Wifi,3G,01-03,Yes,Mobile,Moderate
6772,Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6773,Boy,21-25,,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,Yes,Mobile,High
6774,Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,3G,03-06,Yes,Mobile,Moderate
6775,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6776,Boy,21-25,University,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Moderate
6777,Boy,11-15,School,,No,Yes,High,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6778,Boy,21-25,University,Government,No,No,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6779,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,2G,03-06,No,Mobile,Moderate
6780,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
6781,Boy,16-20,University,Government,No,Yes,Low,Mid,Wifi,3G,01-03,Yes,Computer,Moderate
6782,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Wifi,3G,01-03,No,Mobile,Low
6783,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6784,Boy,21-25,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
6785,Boy,16-20,College,Government,No,No,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6786,Girl,21-25,University,Government,No,,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6787,Girl,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,4G,03-06,No,Computer,Moderate
6788,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6789,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6790,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6791,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
6792,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6793,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Moderate
6794,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,High
6795,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,,No,Mobile,Moderate
6796,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Moderate
6797,Girl,21-25,University,Non Government,Yes,No,High,Poor,Wifi,2G,03-06,Yes,Tab,Low
6798,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,01-03,No,Mobile,Low
6799,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3G,03-06,No,Mobile,Low
6800,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
6801,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6802,Girl,21-25,,Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
6803,Girl,06-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6804,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6805,Boy,21-25,,Non Government,Yes,No,Low,Mid,Wifi,4G,03-06,Yes,Computer,Moderate
6806,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6807,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Low
6808,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6809,Boy,21-25,University,Non Government,No,No,Low,Poor,Mobile Data,4G,01-03,,Mobile,Low
6810,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6811,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,01-03,No,Mobile,Low
6812,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6813,Boy,06-10,School,Non Government,No,Yes,Low,Rich,Wifi,4G,03-06,No,Mobile,High
6814,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Moderate
6815,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
6816,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6817,Girl,11-15,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
6818,Girl,11-15,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
6819,Boy,21-25,University,Government,No,No,High,Mid,Mobile Data,4G,01-03,No,Mobile,Low
6820,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,3G,01-03,No,,Moderate
6821,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,Yes,,Moderate
6822,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,03-06,No,Mobile,Moderate
6823,Girl,,School,Non Government,No,Yes,Low,Mid,,4G,01-03,No,Mobile,Moderate
6824,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Moderate
6825,Girl,16-20,,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6826,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6827,Boy,11-15,School,Non Government,No,Yes,High,Mid,Wifi,4G,01-03,No,Computer,Low
6828,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6829,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,Yes,Mobile,Low
6830,Boy,06-10,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
6831,,11-15,School,Government,No,Yes,Low,Rich,Wifi,4G,01-03,No,Mobile,Moderate
6832,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6833,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Tab,Moderate
6834,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6835,Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,4G,01-03,No,Computer,High
6836,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
6837,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,03-06,No,Mobile,Moderate
6838,Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6839,Boy,11-15,School,Non Government,No,Yes,Low,Rich,Mobile Data,3G,01-03,No,Mobile,High
6840,Girl,11-15,School,Government,No,No,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6841,Boy,16-20,School,Government,No,Yes,Low,Rich,Mobile Data,4G,01-03,No,Mobile,Moderate
6842,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6843,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
6844,Boy,11-15,School,Government,No,No,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
6845,Girl,01-05,School,Non Government,,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6846,Girl,06-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6847,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,High
6848,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Tab,Moderate
6849,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6850,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6851,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6852,Girl,21-25,University,Non Government,Yes,No,High,Mid,Wifi,4G,01-03,Yes,Computer,Moderate
6853,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,4G,03-06,Yes,Computer,Moderate
6854,Boy,16-20,School,Government,No,Yes,Low,Rich,Mobile Data,4G,01-03,No,Mobile,Moderate
6855,Boy,16-20,College,Government,No,Yes,High,Mid,Mobile Data,4G,01-03,No,Mobile,Low
6856,Boy,11-15,School,Non Government,No,No,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6857,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6858,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6859,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,03-06,Yes,Computer,Low
6860,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6861,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6862,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
6863,Boy,21-25,University,Government,No,No,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6864,Girl,06-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6865,Girl,01-05,School,,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6866,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,High
6867,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6868,Boy,16-20,University,Government,No,Yes,Low,Mid,Wifi,3G,01-03,Yes,Computer,Moderate
6869,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,High
6870,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6871,Girl,21-25,University,,,Yes,Low,Mid,Wifi,4G,03-06,No,Tab,Moderate
6872,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6873,Girl,06-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,High
6874,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6875,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6876,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6877,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6878,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6879,Girl,16-20,School,Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Low
6880,Girl,21-25,College,Government,No,No,High,Mid,Mobile Data,4G,0,No,Mobile,Low
6881,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,3G,01-03,No,Mobile,Low
6882,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6883,Boy,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6884,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,01-03,No,Mobile,Low
6885,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
6886,Boy,21-25,University,Non Government,No,No,Low,Mid,Wifi,4G,0,No,Mobile,Moderate
6887,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
6888,Girl,06-10,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
6889,Girl,21-25,University,Non Government,No,No,Low,Mid,Wifi,4G,0,No,Mobile,Low
6890,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6891,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6892,Girl,16-20,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,03-06,Yes,Mobile,Moderate
6893,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Moderate
6894,Girl,06-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6895,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
6896,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Tab,Moderate
6897,Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
6898,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
6899,Girl,16-20,College,Government,No,Yes,Low,,Wifi,4G,01-03,No,Mobile,Moderate
6900,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Mobile,Moderate
6901,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6902,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6903,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6904,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6905,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Tab,Moderate
6906,Girl,11-15,School,Government,No,Yes,Low,Rich,Wifi,4G,01-03,No,Mobile,Low
6907,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6908,,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,03-06,No,Mobile,Moderate
6909,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6910,Boy,16-20,School,,No,Yes,Low,Rich,Mobile Data,4G,01-03,No,Mobile,Moderate
6911,Girl,01-05,School,Non Government,,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6912,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,,Mobile,Moderate
6913,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Computer,Moderate
6914,Boy,26-30,University,Non Government,Yes,No,High,Mid,Mobile Data,3G,,No,Mobile,Moderate
6915,Boy,16-20,University,Government,No,Yes,Low,Mid,Wifi,3G,01-03,Yes,Computer,Moderate
6916,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6917,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Wifi,3G,01-03,No,Mobile,Moderate
6918,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6919,Girl,06-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6920,Girl,21-25,University,Non Government,Yes,No,High,Mid,Wifi,4G,01-03,Yes,Computer,Moderate
6921,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,4G,01-03,No,Mobile,Low
6922,Boy,16-20,School,Government,No,Yes,Low,Rich,Mobile Data,4G,01-03,No,Mobile,Moderate
6923,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Low
6924,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6925,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
6926,Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,4G,01-03,Yes,Mobile,Moderate
6927,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
6928,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,Yes,Mobile,Moderate
6929,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,High
6930,Boy,06-10,School,Non Government,No,Yes,Low,Rich,Wifi,4G,03-06,No,Mobile,High
6931,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,3G,01-03,No,Mobile,Low
6932,Girl,01-05,,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6933,Boy,06-10,School,Non Government,No,Yes,Low,Rich,Wifi,4G,01-03,No,Mobile,Moderate
6934,Boy,11-15,School,Non Government,No,Yes,Low,,Wifi,4G,0,No,Mobile,Low
6935,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6936,Boy,16-20,University,Government,No,Yes,Low,Mid,Wifi,4G,03-06,Yes,Computer,Low
6937,Boy,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6938,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6939,Girl,06-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
6940,Boy,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6941,Girl,01-05,School,Non Government,No,,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6942,Boy,26-30,University,Government,Yes,No,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6943,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,4G,01-03,Yes,Computer,High
6944,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6945,Boy,,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6946,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,,01-03,No,Mobile,Moderate
6947,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,01-03,No,Computer,Moderate
6948,Boy,16-20,College,Government,Yes,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
6949,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3G,01-03,Yes,Mobile,High
6950,Girl,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
6951,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6952,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
6953,Boy,06-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
6954,Girl,11-15,School,Government,No,Yes,Low,Rich,Wifi,4G,01-03,No,Mobile,Moderate
6955,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6956,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
6957,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
