,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
46,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
47,Girl,,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
48,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
49,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,03-06,Yes,Computer,Low
50,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
51,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,,No,Mobile,Moderate
52,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,Yes,,Moderate
53,Boy,26-30,University,Government,Yes,No,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
54,Boy,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
55,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
56,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
57,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
58,Girl,11-15,School,Non Government,No,No,High,Mid,Mobile Data,3G,,No,Mobile,Low
59,Boy,16-20,School,Government,No,No,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
60,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
61,Boy,21-25,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
62,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,Yes,Mobile,Moderate
63,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
64,Boy,11-15,School,Non Government,No,Yes,High,Poor,Wifi,4G,01-03,No,,Low
65,,26-30,University,Government,No,No,Low,Mid,Mobile Data,4G,01-03,No,Mobile,High
66,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
67,Girl,06-10,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
68,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
69,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
70,Boy,,College,Government,No,No,High,Poor,Mobile Data,3G,01-03,Yes,Mobile,Low
71,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
72,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
73,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
74,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
75,Girl,06-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,2G,01-03,No,Mobile,Low
76,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,Yes,Mobile,Moderate
77,Girl,21-25,College,Government,No,No,High,Mid,Mobile Data,4G,0,No,Mobile,Low
78,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,03-06,No,Mobile,Moderate
79,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
80,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
81,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,03-06,No,Mobile,Moderate
82,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
